Dataset,Algorithm,Confusion Matrix,Accuracy,Precision_0,Recall_0,F1_0,Support_0,Precision_1,Recall_1,F1_1,Support_1,Number of Positive Samples,Number of Negative Samples,Execution Time (s),Model Group
ASTD_Preprocessed_Balanced,RandomForest (default),"[[281  42]
 [ 31 303]]",0.8889,0.9006,0.87,0.885,323,0.8783,0.9072,0.8925,334,1642,1642,1.732,RandomForest
ASTD,RandomForest (n_estimators=500),"[[301  19]
 [113  51]]",0.7273,0.7271,0.9406,0.8202,320,0.7286,0.311,0.4359,164,777,1642,11.3024,RandomForest
ASTD_Balanced,RandomForest (n_estimators=50),"[[292  31]
 [ 42 292]]",0.8889,0.8743,0.904,0.8889,323,0.904,0.8743,0.8889,334,1642,1642,1.2609,RandomForest
ASTD_Preprocessed,RandomForest (n_estimators=50),"[[281  39]
 [ 69  95]]",0.7769,0.8029,0.8781,0.8388,320,0.709,0.5793,0.6376,164,777,1642,0.801,RandomForest
ASTD_Preprocessed_Balanced,RandomForest (n_estimators=500),"[[281  42]
 [ 29 305]]",0.8919,0.9065,0.87,0.8878,323,0.879,0.9132,0.8957,334,1642,1642,9.4224,RandomForest
ASTD,KNN (default),"[[277  43]
 [ 89  75]]",0.7273,0.7568,0.8656,0.8076,320,0.6356,0.4573,0.5319,164,777,1642,0.0251,KNN
ASTD_Balanced,KNN (default),"[[213 110]
 [ 50 284]]",0.7565,0.8099,0.6594,0.727,323,0.7208,0.8503,0.7802,334,1642,1642,0.0402,KNN
ASTD_Preprocessed,KNN (default),"[[250  70]
 [ 63 101]]",0.7252,0.7987,0.7812,0.7899,320,0.5906,0.6159,0.603,164,777,1642,0.0234,KNN
ASTD_Preprocessed_Balanced,KNN (default),"[[188 135]
 [ 42 292]]",0.7306,0.8174,0.582,0.6799,323,0.6838,0.8743,0.7674,334,1642,1642,0.0607,KNN
ASTD,KNN (k=3),"[[278  42]
 [ 76  88]]",0.7562,0.7853,0.8688,0.8249,320,0.6769,0.5366,0.5986,164,777,1642,0.0257,KNN
ASTD_Balanced,KNN (k=1),"[[243  80]
 [ 21 313]]",0.8463,0.9205,0.7523,0.8279,323,0.7964,0.9371,0.8611,334,1642,1642,0.0515,KNN
ASTD_Preprocessed,KNN (k=7),"[[265  55]
 [ 62 102]]",0.7583,0.8104,0.8281,0.8192,320,0.6497,0.622,0.6355,164,777,1642,0.0265,KNN
ASTD_Preprocessed_Balanced,KNN (k=3),"[[227  96]
 [ 28 306]]",0.8113,0.8902,0.7028,0.7855,323,0.7612,0.9162,0.8315,334,1642,1642,0.0458,KNN
ASTD,AdaBoost (default),"[[312   8]
 [143  21]]",0.688,0.6857,0.975,0.8052,320,0.7241,0.128,0.2176,164,777,1642,0.7342,AdaBoost
ASTD_Balanced,AdaBoost (default),"[[144 179]
 [ 65 269]]",0.6286,0.689,0.4458,0.5414,323,0.6004,0.8054,0.688,334,1642,1642,0.8213,AdaBoost
ASTD_Preprocessed,AdaBoost (default),"[[316   4]
 [143  21]]",0.6963,0.6885,0.9875,0.8113,320,0.84,0.128,0.2222,164,777,1642,0.4107,AdaBoost
ASTD_Preprocessed_Balanced,AdaBoost (default),"[[299  24]
 [221 113]]",0.6271,0.575,0.9257,0.7094,323,0.8248,0.3383,0.4798,334,1642,1642,0.4284,AdaBoost
ASTD,AdaBoost (n_estimators=500),"[[312   8]
 [133  31]]",0.7087,0.7011,0.975,0.8157,320,0.7949,0.189,0.3054,164,777,1642,5.4387,AdaBoost
ASTD_Balanced,AdaBoost (n_estimators=500),"[[198 125]
 [ 77 257]]",0.6925,0.72,0.613,0.6622,323,0.6728,0.7695,0.7179,334,1642,1642,5.8476,AdaBoost
ASTD_Preprocessed,AdaBoost (n_estimators=500),"[[309  11]
 [114  50]]",0.7417,0.7305,0.9656,0.8318,320,0.8197,0.3049,0.4444,164,777,1642,4.3334,AdaBoost
ASTD_Preprocessed_Balanced,AdaBoost (n_estimators=500),"[[274  49]
 [110 224]]",0.758,0.7135,0.8483,0.7751,323,0.8205,0.6707,0.7381,334,1642,1642,4.2472,AdaBoost
